Summary,Status,Priority,Created,Resolved,Labels,Description
Import > Search Import > Edit Import PO Tab > Import PO rates not hitting on Report issue,Done,Medium,2024-10-28 18:48:00,2024-11-08 18:09:00,"Import,KICKER",Import > Search Import > Edit Import PO Tab > Import PO rates not hitting on Report issue
HR > Duty Timing/Department Timing > Forth Shift flow Timing PM to PM,Done,Medium,2024-10-28 18:46:00,2024-10-30 15:47:00,"HR,KICKER",HR > Duty Timing/Department Timing > Forth Shift flow Timing PM to PM 
Store > GRNR > For Import issue fix,Done,Medium,2024-10-19 16:22:00,2024-10-21 09:55:00,"KICKER,STORE",Store > GRNR > For Import issue fix
Store > SearchGRN > GRN filter import or local filter,Done,Medium,2024-10-19 16:21:00,2024-10-21 09:55:00,"KICKER,STORE",Store > SearchGRN > GRN filter import or local filter
Football Planning > ViewArticles > Search Implement,Done,Medium,2024-10-19 16:20:00,2024-10-21 09:55:00,"FB-PLANNING,KICKER",Football Planning > ViewArticles > Search Implement
Store > Login > Slow screen issue fix,Done,Medium,2024-10-19 16:19:00,2024-10-21 09:55:00,"KICKER,STORE",Store > Login > Slow screen issue fix
HR > Advance > Remove Extra lines from Report,Done,Medium,2024-10-19 16:18:00,2024-10-21 09:55:00,"HR,KICKER",HR > Advance > Remove Extra lines from Report
Import > Proforma > Print issue solved,Done,Medium,2024-10-19 16:17:00,2024-10-21 09:55:00,"Import,KICKER",Import > Proforma > Print issue solved
HR > Leaves > Report print issue fix,Done,Medium,2024-10-19 16:16:00,2024-10-21 09:55:00,"HR,KICKER",HR > Leaves > Report print issue fix
Gate > Inward + Outward > Date issue solved,Done,Medium,2024-10-19 16:14:00,2024-10-21 09:55:00,"GATE,KICKER",Gate > Inward + Outward > Date issue solved
Accounts > Vouchers > Add Replicate Vouchers in General Ledger,Done,Medium,2024-10-11 12:26:00,2024-10-11 16:19:00,"ACCOUNTS,KICKER",Accounts > Vouchers > Add Replicate Vouchers in General Ledger
Accounts > Detail GRIN > Credit/Debit round of fix,Done,Medium,2024-10-11 12:26:00,2024-10-11 16:19:00,"ACCOUNTS,KICKER",Accounts > Detail GRIN > Credit/Debit round of fix
HR > Leaves > Disable Sunday leave Selection,Done,Medium,2024-10-11 12:25:00,2024-10-11 16:18:00,"HR,KICKER",HR > Leaves > Disable Sunday leave Selection
Accounts > Voucher > Check apply voucher duplicate,Done,Medium,2024-10-11 12:25:00,2024-10-11 16:22:00,"ACCOUNTS,KICKER",Accounts > Voucher > Check apply voucher duplicate
Gate >Inward + Outward > Data Load issue fix,Done,Medium,2024-10-11 12:24:00,2024-10-11 16:21:00,"GATE,KICKER",Gate >Inward + Outward >  Data Load issue fix
Import > Update Import > PO report design update + Item code show,Done,Medium,2024-10-11 12:23:00,2024-10-11 16:18:00,"Import,KICKER",Import > Update Import > PO report design update + Item code show
GlovesPlanning > AddArticle > Material Plan Item Show Issue Fix,Done,Medium,2024-10-11 12:22:00,2024-10-11 16:18:00,"GK-PLANNING,KICKER",GlovesPlanning > AddArticle > Material Plan Item Show Issue Fix
HR > Wages >  Meal payment linked with wages screen,Done,Medium,2024-10-01 11:36:00,2024-10-01 18:03:00,"HR,KICKER",HR > Wages >  Meal payment linked with wages screen
Import > PO Print > Material Correction function,Done,Medium,2024-10-01 11:35:00,2024-10-01 11:48:00,"Import,KICKER",Import > PO Print > Material Correction function
Accounts > Report Ledger > Design update,Done,Medium,2024-10-01 11:34:00,2024-10-01 11:48:00,"ACCOUNTS,KICKER",Accounts > Report Ledger > Design update
Store > Category Permission > Category + Item Add + Search + Report + Excel,Done,Medium,2024-10-01 11:32:00,2024-10-01 11:48:00,"KICKER,STORE",Store > Category Permission > Category + Item Add + Search + Report + Excel
Gloves Planning > Search Articles > Technical Specification > set component across department issue,Done,Medium,2024-09-05 13:36:00,2024-10-10 07:17:00,"GK-PLANNING,KICKER",Gloves Planning > Search Articles > Technical Specification > set component across department issue
Accounts > voucher serial issue at the time of adding,Done,Medium,2024-09-05 12:05:00,2024-10-10 07:17:00,"ACCOUNTS,KICKER",Accounts > voucher serial issue at the time of adding
Store > PDR > Generate Pdr add work order drop down list (reference Same like IR),Done,Medium,2024-09-04 09:56:00,2024-09-10 09:59:00,"KICKER,STORE",Store > PDR > Generate Pdr add work order drop down list (reference Same like IR)
Gk Planning > Planning Material categorize in gk planning planning material tab show Imported wise and Local wise,Done,Medium,2024-09-04 09:53:00,2024-09-11 11:33:00,"GK-PLANNING,KICKER",Gk Planning > Planning Material categorize in gk planning planning material tab show Imported wise and Local wise
GK Planning > Edit Article > after editing loading time issue on saving different tab data,Done,Medium,2024-08-28 11:52:00,2024-09-20 18:01:00,"GK-PLANNING,KICKER",GK Planning > Edit Article > after editing loading time issue on saving different tab data
GLOVES PRODUCTION > Reserve WL Order wise reserve flow,Done,Medium,2024-06-30 16:58:00,2024-09-09 09:55:00,"GLOVES-PRODUCTION,KICKER",GLOVES PRODUCTION > Reserve WL Order wise reserve flow
Email setup > Import status after 1 week through email settled or not,Done,Medium,2024-06-07 11:21:00,2024-09-25 15:52:00,"ACCOUNTS,EMail",Email setup > Import status after 1 week through email settled or not
Store > search item > Show the secondary unit and qty in the search screen,Done,Medium,2023-08-25 18:40:00,2023-09-07 22:18:00,"NEXT-SPRINT,STORE",Store > search item > Show the secondary unit and qty in the search screen
FB Production > dispatch / receving / return > balance flow same like GK Production,Done,Medium,2022-11-23 13:04:00,2023-03-17 10:03:00,"FB-PRODUCTION,KICKER",FB Production > dispatch / receving / return > balance flow same like GK Production
HR > 1 and half day deduction,Done,Medium,2022-09-03 12:23:00,2023-03-17 10:03:00,"HR,KICKER",HR > 1 and half day deduction
TDP Redis Cache issue,Done,Medium,2022-07-26 10:34:00,2022-10-05 09:37:00,"HR,TDP",TDP Redis Cache issue
MainExport > dashboard > commercial Invoice widget not working ,Done,Medium,2022-07-21 16:02:00,2022-07-22 10:07:00,"KICKER,MAIN-EXPORT",MainExport > dashboard > commercial Invoice widget not working
HR > Overtime > Attendance out time for next day attendance if overtime exceed from 12 AM,Done,Medium,2022-07-21 15:07:00,2022-07-23 10:20:00,"HR,KICKER",HR > Overtime > Attendance out time for next day attendance if overtime exceed from 12 AM
Main Export > Proforma > advance flow in account and shioment,Done,Medium,2022-07-21 15:05:00,2022-07-22 15:03:00,"KICKER,MAIN-EXPORT",Main Export > Proforma > advance flow in account and shioment
HR> Night shift attendance issue,Done,Medium,2022-07-02 10:54:00,2022-08-02 10:16:00,"HR,TDP",HR> Night shift attendance issue
HR> remove (monthly) title from all date wise report,Done,Medium,2022-07-02 10:23:00,2022-08-03 17:34:00,"HR,TDP",HR> remove (monthly) title from all date wise report
HR > Overtime calculation same for salary and overtime search screen ,Done,Medium,2022-06-03 14:37:00,2022-07-16 09:59:00,"HR,THETA",HR > Overtime calculation same for salary and overtime search screen
HR > Single leave > leave balance check + half leave from to date should be same,Done,Medium,2022-05-13 12:48:00,2022-08-31 13:07:00,"HR,THETA",HR > Single leave > leave balance check + half leave from to date should be same
new report for monthly hiring on HR Dashboard,Done,Medium,2022-04-30 13:51:00,2022-08-02 17:50:00,"HR,THETA",new report for monthly hiring on HR Dashboard
export > add logo picture,Done,Medium,2022-04-04 12:02:00,2022-04-18 22:19:00,"Export,THETA",export > add logo picture
"SourceTree ignores case of remote branch, and lowers the case on push",Done,Low,2019-10-08 15:51:00,2021-02-22 05:41:00,bug - git - branching - case-sensitivity,"- Open SourceTree - Go to Settings - Click on remote - Click on the edit button - Applications get crash !image-2021-02-05-15-21-34-737.png|width=1769,height=995!"
stage/unstage files showing like a tree,Done,Low,2019-10-23 21:22:00,2020-11-02 13:51:00,bug - UI - file-management - ,"""Refresh automatically when file changes"" and ""Refresh when application is not in focus"" doesn't work!a There's no way to get the file changes displayed exept hitting the F5 key!a h1. It's 3.2.6! You're Affects Version/s is outdated and I cannot leave it blank!h1. *I don't know what Component/s is/are?*"
Update from 3.4.9 to 3.4.10 crashes and leaves sourcetree unusable.,Done,Low,2022-10-29 15:24:00,2022-10-30 07:33:00,bug - crash - update - ,"""There was an error during the update process""Method not found: 'Void SharpCompress.Readers.IReaderExtensions.WriteEntryToFile(SharpCompress.Readers.IReader, System.String, SharpCompress.Readers.ExtractionOptions)'.!image-2022-10-29-08-21-13-705.png!"
Very high CPU usage on entering a commit message,Done,Low,2020-01-16 08:03:00,2020-11-10 15:14:00,bug - performance - commit - ,"If you stage selected lines, program does not refresh shown data. To refresh data you have to switch to different file or branch and next select previous file. # If you stage selected lines, it is impossible to unstage them.a Program: SourceTree for Windows, version *3.3.6*BTW it is not possible to enter version 3.3.6 in the Affected Version on the Jira form."
External merge does not work in windows sourcetree,Done,Low,2021-03-18 19:20:00,2021-04-23 12:15:00,bug - merge - windows - ,"*Issue Summary:*When created a new user we see error massage in ""Contact Offer"" point.*Steps to Reproduse:* # Open ""Railway tickets"" for a android app. # Press ""My account"" button. # Click to the create account. # Go through the registration form and click ""Contact offer"" point. # Click register.*Expected Results:***The registration form was successful and goes to my account.*Actual results:***Registration of a new user does not take place, you see red exclamation mark in ""Contact Offer"" pointa "
Wrong translation,Done,Low,2019-11-16 12:50:00,2020-03-25 15:27:00,bug - localization - UI - ,"*Steps to reproduce:*1. Open Mobile application ""Railway tickets""2. Go to ""Return ticket""*Expected result:*There is the possibility to ""go back"" to the main menu*Actual result:*An option to ""go back"" to main menu doesn't exista *Environment:*iOS version 13.2.3 IPhone 7a "
Couldn't push the Git-flow generated branches.,Done,Low,2019-11-16 13:27:00,2020-03-25 15:27:00,bug - git-flow - branching - ,*steps to reproduce:*1.Download the application on the device and take it off2.flip the device*Expected result:*expect a bug 
Allow Organization admins to exclude specific email addresses from SAML,Done,Low,2019-10-08 08:24:00,2020-11-04 10:06:00,feature - SAML - authentication - ,"*Steps to reproduce:*a  # Open app Proizd # Select the field ""Calendar"" # Scroll the page up continuously # Scroll the page down continuously*Expected results:*a  * Calendar is on the screen in both cases*Actual results* * Calendar disappears from the screen*Environment:*a  * IPhone XR * ios 13.6.1"
go to HEAD,Done,Low,2021-02-25 10:38:00,2021-03-15 07:15:00,feature - navigation - git - ,"*Steps:*1. Go to any Bitbucket repository in browsera [https://bitbucket.org/]2. Navigate to ""Branches""3. Select any branch4. Click ""Checkout"" => ""Checkout in sourcetree""5. Click ""Open sourcetree"" in browser popup.6. Click ""Checkout"" in Sourcetree ""URL actions"" popup*Actual Result:*Application is crashed.*Expected Result:*Selected branch is checked out and is active."
PATH environment setting is not working from the Bash console opened by the Terminal menu,Done,Low,2020-12-22 17:28:00,2021-01-18 05:46:00,bug - terminal - environment - ,"*This affect 3.4.0*, interactive rebasing (from the main menu, or right click), doesn't work anymore. It shown an empty GUI. See screenshot attached.a !image-2020-12-24-17-48-59-598.png!"
Tank's fire function is not working when you standing in left bottom corner,Done,Low,2019-10-28 09:46:00,2020-11-05 12:20:00,bug - gameplay - functionality - ,[https://community.atlassian.com/t5/Sourcetree-questions/Numbers-on-tabs-but-nothing-to-pull-or-commit-push/qaq-p/1199905]
Crash when clonning repo,Done,Low,2022-08-25 17:02:00,2023-01-16 04:24:00,bug - crash - clone - ,\SourceTree\app-3.4.9\tools\putty\putty.exe is version 0.76. The sign certificate of this version already expired. Our EDR solution blocked the file due to certificate expiry. The latest Putty 0.77 is signed with new certificate.
Different backgrounds for different projects,Done,Low,2020-01-22 10:34:00,2020-11-10 15:16:00,feature - UI - customization - ,"A lot of other developers at my work experience the same issue with the latest sourcetree version 3.3.6. We had to downgrade to 3.1.2 which is the latest stable version.a I think 3.3.7 behaves in the same way. as 3.3.6, so is also unstable.a The jira menu below asks me to report a bug on a specific sourcetree version, however 3.3.6/7 isn't an option on there, so I will submit the latest version that does come up in the dropdown - 3.2.2, however I am sure that version is actually fine. Not sure why the latest versions don't come up in the dropdown. Within the actual sourcetree it prompts me to upgrade to 3.3.7, so I assume this dropdown on Jira is out of date.a ISSUE DESCRIPTION - {color:#FF0000}*Affects 3.3.6 and 3.3.7*{color}:When you update to another branch, the view still shows that you are on the previous branch. Once I close the app completely and reopen, only then it is then obvious that I have checked out another branch. So it does update in the background, however the view isn't updating correctly.a Similarly when you stage files, it shows them in the unstaged section until I shut the app down, reopen it and then find them in the staged section.a a Similarly creating a new branch - it doesn't show the new branch on the side bar at all until shutting down and reopening the app.a Im using windows 10 if this helps."
SourceTree: Commit screen is not refreshing as it was always do!,Done,Low,2020-08-21 15:33:00,2021-01-15 09:08:00,bug - UI - refresh - ,A picture worth a thousand words. The problem happens in 3.4.0 but not 3.3.9 ( despite that I tag 3.3.9 because I can't find 3.4.0)a !image-2020-12-24-15-34-44-315.png!a !image-2020-12-24-15-34-54-421.png!a 
Upadate embedded Git binary and create new release,Done,Low,2023-02-17 08:01:00,2023-03-07 11:15:00,task - git - release - ,"According to security advisory ""Multiple Products Security Advisory - Git Buffer Overflow - CVE-2022-41903, CVE-2022-23521"" Sourcetree should be updated to version 3.4.12 after release or switch to an external updated git version as mitigation.a https://confluence.atlassian.com/security/multiple-products-security-advisory-git-buffer-overflow-cve-2022-41903-cve-2022-23521-1189805967.html"
Sourcetree crashes after update,Done,Low,2019-11-05 22:35:00,2020-11-17 13:43:00,bug - crash - update - ,"after a fresch installation {color:#FF0000}*v3.3.8*{color} (delete AppData\Local\Atlasian and AppData\Local\Sourcetree completely) SCT does not save remote login data for bitbucket. Will see a red exclamation on button ""Remote"". After clearing this problem by edit url (Remote account) in settings the red exclamation disappear and I can work. Than after close and reopen SCT the red exclamation will displayed again ad the users remote accout is set to ""Generic Account / Generic Host"""
Sourcetree doesn't automatically refresh screen,Done,Low,2020-01-18 07:15:00,2020-11-10 15:15:00,bug - UI - refresh - ,"After a recent SourceTree update to v3.3.6, when I stage or unstage a file, the lists of staged/unstaged files is not automatically updated.I have to refresh the view in order for the changes to appear.a Note that the list of affected versions is not up to date - the latest listed is 3.2.2, but this appears in 3.3.6 (note that 3.3.4 works correctly)."
Upload to confluence is broken!,Done,Low,2020-01-07 05:32:00,2020-11-10 15:10:00,bug - confluence - integration - ,"After adding GitHub account, my GitHub repositories are not showing in the list. Bitbucketa  repositories show OK.!image-2020-10-10-12-33-53-370.png!!image-2020-10-10-12-34-32-201.png!a "
Unable to login Source Tree,Done,Low,2020-08-01 14:15:00,2020-11-10 05:24:00,bug - authentication - login - ,"After Commit, the file that I want to Push disappears, and I have to use GIT to push the branch.a a The Push button does not work without a file to push.After I push the file using GIT, View>Refresh does not update the status of the file having been pushed.a  I have to close SourceTree and reopen it to confirm the updated status.Also, SourceTree is very slow, especially with Pull requests.this is in version 3.2.6, not 3.2.2 which I entered in the ""Affects Versions"" drop down..a  I entered 3.2.2 in the ""Affects Versions"" drop down because 3.2.6 was not an option"
Sorcetree not installing ,Done,Low,2022-11-09 08:31:00,2022-12-02 06:13:00,bug - installation - ,"After downloading, I logged in through the Bitbucket option and then a few steps later it asked me for an SSH key to which i clicked ""No"". After completing that step my source tree has always been crashing upon opening."
cannot update my sourcetree 3.2.6,Done,Low,2020-01-22 08:23:00,2020-11-10 15:36:00,bug - update - ,"After i upgraded sourcetree to v3.3.7 i have some bugs. * When i click ""Stage all"", ""Stage Selected"" or ""+"" button, files are not move to Unstaged to Staged. I have to refresh the screen to see the changes. * And also after Commit, Can't see the changes. I need to restart the sourcetree to see the changes.a a PS: I can't chose ""Affects Version"" to 3.3.7(sorry for my english)"
Pull requests are not shown for packages. Source Tree Windows Version,Done,Low,2020-12-07 09:29:00,2021-04-09 12:12:00,bug - pull-request - windows - ,"After installation during registration stage opening up localhost:34106 for authentication.Sourcetree cannot be used with the bug.a {code:java}ERROR [2020-03-10 11:06:38,327] [13] [Sourcetree.Analytics.Emau.EMauSubmissionService] [Log] - POST MAU submission FAILEDSystem.IO.FileLoadException: Could not load file or assembly 'TimeZoneConverter, Version=2.3.0.0, Culture=neutral, PublicKeyToken=null' or one of its dependencies. The located assembly's manifest definition does not match the assembly reference. (Exception from HRESULT: 0x80131040)File name: 'TimeZoneConverter, Version=2.3.0.0, Culture=neutral, PublicKeyToken=null' at Atlassian.AnalyticsService.Client.Converters.IanaTimezoneConverter.WriteJson(JsonWriter writer, Object value, JsonSerializer serializer) at Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.SerializeConvertable(JsonWriter writer, JsonConverter converter, Object value, JsonContract contract, JsonContainerContract collectionContract, JsonProperty containerProperty) at Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.SerializeObject(JsonWriter writer, Object value, JsonObjectContract contract, JsonProperty member, JsonContainerContract collectionContract, JsonProperty containerProperty) at Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.SerializeObject(JsonWriter writer, Object value, JsonObjectContract contract, JsonProperty member, JsonContainerContract collectionContract, JsonProperty containerProperty) at Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.Serialize(JsonWriter jsonWriter, Object value, Type objectType) at Newtonsoft.Json.JsonSerializer.SerializeInternal(JsonWriter jsonWriter, Object value, Type objectType) at Newtonsoft.Json.JsonConvert.SerializeObjectInternal(Object value, Type type, JsonSerializer jsonSerializer) at Sourcetree.Analytics.Emau.EMauSubmissionService.<SubmitBatch>d__61.MoveNext(){code}a "
Ability to filter branches tree by fuzzy search,Done,Low,2020-01-20 22:10:00,2020-11-10 15:15:00,feature - search - branching - ,After update 3.3.7 I found the file status screen doesn't get automatically updated. I will need to switch between tabs to make the file status screen updated. It was working fine previously.a 
Git tutorial bug,Done,Low,2020-01-20 13:26:00,2020-11-10 15:17:00,bug - documentation - tutorial - ,After updating to 3.3.7 auto-refreshing no longer works when for example * Staging * Switching Branches * Committing * Fetching
SourceTree ignores case on Branch name and pushes 'new' branch,Done,Low,2019-10-09 11:49:00,2020-10-30 14:57:00,bug - branching - case-sensitivity - ,"After upgrading to v3.3.6, I found out that in order to see changes in any file, I have to refresh the sourcetree with F5. Even if I stage the changes or checkout to new branch, the changes are reflected only after refresh.P.S. The version I am using (v3.3.6) is not mentioned in list. So, I am using 3.3b1 in dropdown below.!image-2020-01-13-13-28-39-539.png!"
Can't clone repository,Done,Low,2022-05-20 19:33:00,2023-01-04 04:54:00,bug - clone - ,"All of the sudden sourcetree crashes. So I tried uninstall, delete thea C:\Users\\{userName}\AppData\Local\SourceTreeC:\Users\\{userName}\AppData\Local\Atlassianfolder and reinstall. Reinstall starts but then crashes.Windows 11 Version 21H2 (OS buiold 22000.675)Faulting application name: SourceTree.exe, version: 3.4.8.0, time stamp: 0x6215d589Faulting module name: KERNELBASE.dll, version: 10.0.22000.675, time stamp: 0x8d5bd3daException code: 0xe0434352Fault offset: 0x000000000004474cFaulting process id: 0x6668Faulting application start time: 0x01d86c7eeaa5e1e7Faulting application path: C:\Users\\{userName}\AppData\Local\SourceTree\app-3.4.8\SourceTree.exeFaulting module path: C:\WINDOWS\System32\KERNELBASE.dllReport Id: 67910bba-acdc-4529-a4db-e6bdb0520982Faulting package full name:a Faulting package-relative application ID:a Application: SourceTree.exeFramework Version: v4.0.30319Description: The process was terminated due to an unhandled exception.Exception Info: System.Management.ManagementExceptiona a at System.Management.ManagementException.ThrowWithExtendedInfo(System.Management.ManagementStatus)a a at System.Management.ManagementObjectCollection+ManagementObjectEnumerator.MoveNext()a a at SourceTree.Utils.WindowsOSHelper.GetWindowsVersion()a a at SourceTree.App..ctor()a a at SourceTree.App.Main()"
uninstall windows version doesn't uninstall the code in /Users/../AppData/Local,Done,Low,2020-01-14 23:02:00,2020-11-10 15:13:00,bug - uninstallation - windows - ,Any changes made to my repos are not visible in SourceTree if it's openNeed to close the app everytime I make any sort of change.
Source Tree overlapping Taskbar Windows 11,Done,Low,2022-01-24 11:36:00,2022-01-25 05:01:00,bug - UI - windows-11 - ,"Application: SourceTree.exeFramework Version: v4.0.30319Description: The process was terminated due to an unhandled exception.Exception Info: SourceTree.Exceptions.ConnectivityException at SourceTree.Host.Bitbucket.Server.BitbucketServerHost+<ListGroupingsForUser>d__23.MoveNext() at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw() at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(System.Threading.Tasks.Task) at SourceTree.ViewModel.Hosted.HostedProjectsViewModel+<RefreshGroupingList>d__95.MoveNext() at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw() at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(System.Threading.Tasks.Task) at SourceTree.ViewModel.Hosted.HostedProjectsViewModel+<<-ctor>b__47_8>d.MoveNext() at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw() at System.Windows.Threading.ExceptionWrapper.InternalRealCall(System.Delegate, System.Object, Int32) at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(System.Object, System.Delegate, System.Object, Int32, System.Delegate) at System.Windows.Threading.DispatcherOperation.InvokeImpl() at MS.Internal.CulturePreservingExecutionContext.CallbackWrapper(System.Object) at System.Threading.ExecutionContext.RunInternal(System.Threading.ExecutionContext, System.Threading.ContextCallback, System.Object, Boolean) at System.Threading.ExecutionContext.Run(System.Threading.ExecutionContext, System.Threading.ContextCallback, System.Object, Boolean) at System.Threading.ExecutionContext.Run(System.Threading.ExecutionContext, System.Threading.ContextCallback, System.Object) at MS.Internal.CulturePreservingExecutionContext.Run(MS.Internal.CulturePreservingExecutionContext, System.Threading.ContextCallback, System.Object) at System.Windows.Threading.DispatcherOperation.Invoke() at System.Windows.Threading.Dispatcher.ProcessQueue() at System.Windows.Threading.Dispatcher.WndProcHook(IntPtr, Int32, IntPtr, IntPtr, Boolean ByRef) at MS.Win32.HwndWrapper.WndProc(IntPtr, Int32, IntPtr, IntPtr, Boolean ByRef) at MS.Win32.HwndSubclass.DispatcherCallbackOperation(System.Object) at System.Windows.Threading.ExceptionWrapper.InternalRealCall(System.Delegate, System.Object, Int32) at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(System.Object, System.Delegate, System.Object, Int32, System.Delegate) at System.Windows.Threading.Dispatcher.LegacyInvokeImpl(System.Windows.Threading.DispatcherPriority, System.TimeSpan, System.Delegate, System.Object, Int32) at MS.Win32.HwndSubclass.SubclassWndProc(IntPtr, Int32, IntPtr, IntPtr) at MS.Win32.UnsafeNativeMethods.DispatchMessage(System.Windows.Interop.MSG ByRef) at System.Windows.Threading.Dispatcher.PushFrameImpl(System.Windows.Threading.DispatcherFrame) at System.Windows.Application.RunDispatcher(System.Object) at System.Windows.Application.RunInternal(System.Windows.Window) at SourceTree.App.Main()a "
Operations require manual refresh (F5) to show updates in commit/branch panels,Done,Low,2020-01-11 23:20:00,2020-11-17 14:22:00,bug - UI - refresh - ,"As per the title, our corporate group policy requires a valid certificate, and therefore SourceTree stopped working when the certificate expired on 27/11/2019I have downloaded the installer again to see if it has been updated since but it appears it has not."
Autofocus for jump to commit,Done,Low,2021-02-03 15:14:00,2021-02-04 06:48:00,feature - UI - navigation - ,"At least since 3.3.6 (maybe earlier) but also in 3.3.7 and 3.3.8 the ""Open in Terminal"" button isn't working anymore (it's not opening the terminal)It seems that also for custom actions that have the ""Open in a separate window"" checkbox checked, it's not opening the git bash window anymore when running the custom actionIt seems that an identical issue existed before, but was fixed in the meantime, but apparently re-introduced:https://jira.atlassian.com/browse/SRCTREEWIN-3896"
"Sourcetree created gigabytes of temp files while staging, committing",Done,Low,2020-02-04 11:04:00,2020-11-17 14:36:00,bug - performance - storage - ,"At the first step installer offers to log in with Bitbucket Server or Bitbucket account.I logged with my Bitbucket account then see next picture in browserh1. Confirm access to your account*Sourcetree for Windows*a is requesting access to the following: * Read and modify your account information * Read and modify your repositories' issues * Read and modify your workspace's project settings, and read and transfer repositories within your workspace's projects * Read and modify your repositories and their pull requests * Administer your repositories * Read and modify your snippets * Read and modify your team membership information * Read and modify your repositories' webhooks * Read and modify your repositories' wikisBy installing the App you agree to thea [privacy policy|https://www.atlassian.com/legal/privacy-policy]a anda [terms of use|https://www.atlassian.com/legal/cloud-terms-of-service]a provided by Sourcetree for Windows.a When i click on ""Grant access"" button, page does redirect toa [https://localhost:34106/?state=authenticated&code=cDBHk9NSSDMPJRLu5J]a and browser saysa h1. This site cana ™t provide a secure connection*localhost*a sent an invalid response.a Installer just waiting for login to finish... and nothing happens afterwards.a [SourceTreeSetup-3.2.6.exe|https://product-downloads.atlassian.com/software/sourcetree/windows/ga/SourceTreeSetup-3.2.6.exe]a is my installer. Windows 10 Pro N."
Missing OAUTH scope,Done,Low,2020-01-10 10:14:00,2020-11-10 15:10:00,bug - authentication - OAUTH - ,"Auto Refresh doesn't work when files are changing, removed or added.Git Version: 2.24.0.2 for WindowsSourcetree (Windows 10) was updated from integrated updater.!image-2019-11-26-22-14-06-766.png|width=528,height=468!!image-2019-11-26-22-13-12-173.png|width=532,height=331!!image-2019-11-26-22-09-37-435.png|width=532,height=774!!image-2019-11-26-22-09-37-389.png|width=531,height=487!"
GUI glitch for many buttons,Done,Low,2021-08-18 11:14:00,2021-08-20 07:38:00,bug - UI - glitch - ,bash: /dev/tty: No such device or address error: failed to execute prompt script (exit code 1)bash: /dev/tty: No such device or address error: failed to execute prompt script (exit code 1)stty: 'standard input': Inappropriate ioctl for device
